"iso3","year","use_rate"
"AGO",2019,0.770559469134439
"BDI",2019,0.767940204542094
"BEN",2019,0.960898191144268
"BFA",2019,0.893140581624201
"CAF",2019,0.904273971931334
"CIV",2019,0.86862992970318
"CMR",2019,0.923750401357561
"COD",2019,0.866664822911998
"COG",2019,0.92069433818945
"COM",2019,0.88342862168179
"DJI",2019,0.697563178920987
"ERI",2019,0.766078601594927
"ETH",2019,0.721113752568166
"GAB",2019,0.837055678419145
"GHA",2019,0.666173842658941
"GIN",2019,0.856702868552005
"GMB",2019,0.67973971442207
"GNB",2019,0.704740455227224
"GNQ",2019,0.858298948067752
"KEN",2019,0.866312893691431
"LBR",2019,0.915101106661906
"MDG",2019,0.911749037935108
"MLI",2019,0.959810885728283
"MOZ",2019,0.946623743442537
"MRT",2019,0.718435670529965
"MWI",2019,0.938243192478661
"NER",2019,0.917822166979427
"NGA",2019,0.879599200077085
"RWA",2019,0.697294342904629
"SDN",2019,0.804943501225267
"SEN",2019,0.7632147658806
"SLE",2019,0.897360694806529
"SOM",2019,0.745897900145634
"SSD",2019,0.841953605017868
"TCD",2019,0.792232236892197
"TGO",2019,0.822372602417996
"TZA",2019,0.752085887171927
"UGA",2019,0.819535483193216
"ZMB",2019,0.804088588028163
"ZWE",2019,0.785834940799247
